Re,Gr,Ha,Rm,Navg,avgA
10,17500,1,10,1.00780590124967,-0.502900618610278
30,17500,1,10,1.06628375697848,-0.5032902630635
50,17500,1,10,1.16589150381893,-0.503962811136344
70,17500,1,10,1.28356404309327,-0.504730469437812
90,17500,1,10,1.40585429350596,-0.505445495919873
200,17500,1,10,2.26281001157013,-0.508449779053794
300,17500,1,10,3.56761751647615,-0.508089938237819
400,17500,1,10,4.79666067699812,-0.506129543298708
500,17500,1,10,5.75188117584748,-0.504490706932453
600,17500,1,10,6.56230046361539,-0.503197887872998
700,17500,1,10,7.29018587856843,-0.50214787648525
800,17500,1,10,7.96475635338467,-0.501267377189413
900,17500,1,10,8.60009072990298,-0.500511569618334
1000,17500,1,10,9.20325795785472,-0.499851741704547
10,22500,1,10,1.00670613562699,-0.501852789010389
30,22500,1,10,1.05730684388049,-0.502217816763883
50,22500,1,10,1.14519609648278,-0.502864736412595
70,22500,1,10,1.25125985163857,-0.503630697102989
90,22500,1,10,1.36243280803251,-0.504369216804382
200,22500,1,10,2.09523543292295,-0.50782604377225
300,22500,1,10,3.23060582297785,-0.508473397821139
400,22500,1,10,4.57011291540125,-0.506505233396103
500,22500,1,10,5.61391100180129,-0.504705493953575
600,22500,1,10,6.46692295818922,-0.503329936851815
700,22500,1,10,7.21972579739309,-0.502229730445579
800,22500,1,10,7.90886526813578,-0.501321865492364
900,22500,1,10,8.55300221676097,-0.500551316987469
1000,22500,1,10,9.16214629165675,-0.49988251370072
10,27500,1,10,1.00593878045653,-0.500987682673583
30,27500,1,10,1.05097221280202,-0.501329879084322
50,27500,1,10,1.13033162587129,-0.501947371609646
70,27500,1,10,1.22778624767085,-0.502697673873527
90,27500,1,10,1.33091477970934,-0.503438387906875
200,27500,1,10,1.9858598960257,-0.507067595806522
300,27500,1,10,2.95193897524319,-0.508645426112351
400,27500,1,10,4.31350099328538,-0.506936053166465
500,27500,1,10,5.45999412929783,-0.504953718097007
600,27500,1,10,6.3643538034399,-0.5034763414303
700,27500,1,10,7.14532027272199,-0.502319092907132
800,27500,1,10,7.85031143680877,-0.501381275551065
900,27500,1,10,8.50409529854304,-0.500594137619268
1000,27500,1,10,9.11992338282244,-0.499914690836197
10,32500,1,10,1.00536791891071,-0.500260139059134
30,32500,1,10,1.04621861851499,-0.500581919321357
50,32500,1,10,1.11901182826932,-0.501170233622043
70,32500,1,10,1.20969573794347,-0.501899700241087
90,32500,1,10,1.30653523181978,-0.502633086683414
200,32500,1,10,1.90694413905847,-0.506273616004177
300,32500,1,10,2.74443302185555,-0.508584851401202
400,32500,1,10,4.03862099351915,-0.507388945702619
500,32500,1,10,5.28810229815673,-0.505240191678362
600,32500,1,10,6.25373913626536,-0.503638827885294
700,32500,1,10,7.06625008160651,-0.502417986231833
800,32500,1,10,7.78893546954244,-0.501446127145848
900,32500,1,10,8.45362606660512,-0.500639345231406
1000,32500,1,10,9.07641788414382,-0.499948705988233
10,37500,1,10,1.00492455370869,-0.499638831092404
30,37500,1,10,1.04250126713304,-0.499942492133528
50,37500,1,10,1.11005204941684,-0.500503275552617
70,37500,1,10,1.19522080261403,-0.501210295207893
90,37500,1,10,1.28694020350488,-0.501932264399303
200,37500,1,10,1.84577479407916,-0.505500395989335
300,37500,1,10,2.59109585208374,-0.508337649671833
400,37500,1,10,3.76880950746267,-0.507802521251672
500,37500,1,10,5.09716130721176,-0.505567387248988
600,37500,1,10,6.13319840734692,-0.503822814090313
700,37500,1,10,6.9821507773255,-0.502527318063403
800,37500,1,10,7.72472770461438,-0.501516440773175
900,37500,1,10,8.4013381053418,-0.500687704119363
1000,37500,1,10,9.03167049933059,-0.499984537902899
10,42500,1,10,1.00456921080106,-0.499101325329899
30,42500,1,10,1.0395053013761,-0.499388880240637
50,42500,1,10,1.10275814375811,-0.499924162295034
70,42500,1,10,1.18332322269712,-0.500608639106059
90,42500,1,10,1.27076614631533,-0.501317555275847
200,42500,1,10,1.7961474465871,-0.504775625383025
300,42500,1,10,2.47381660380162,-0.507956453695583
400,42500,1,10,3.52734418350166,-0.508116776293975
500,42500,1,10,4.88791829765615,-0.505933442816095
600,42500,1,10,6.00181778471537,-0.504030366108181
700,42500,1,10,6.89263417928895,-0.502647995848173
